DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
BAREBURGER,MANHATTAN,313,W 57TH ST,10019,"313 W 57TH ST, MANHATTAN, NY 10019",American,1/30/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,1/30/2018
STARBUCKS,MANHATTAN,30,ROCKFEELLER PLAZA,,"30 ROCKFEELLER PLAZA, MANHATTAN, NY ",CafÃ©/Coffee/Tea,3/8/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/8/2019
BAMBOO SUSHI,MANHATTAN,1280,1ST AVENUE,10065,"1280 1ST AVENUE, MANHATTAN, NY 10065",Japanese,1/28/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,1/28/2019
SUBWAY,MANHATTAN,563,LENOX AVENUE,10037,"563 LENOX AVENUE, MANHATTAN, NY 10037",Sandwiches,2/9/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,2/9/2017
CALLIES TAQUERIA & TEQUILA BAR,MANHATTAN,547,LENOX AVE,10037,"547 LENOX AVE, MANHATTAN, NY 10037",Barbecue,5/16/2016,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,15,B,5/16/2016
AJISEN RAMEN,MANHATTAN,136,WEST   28 STREET,10001,"136 WEST   28 STREET, MANHATTAN, NY 10001",Japanese,7/2/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,7/2/2018
DUNKIN DONUTS,MANHATTAN,155,W 35TH ST,10001,"155 W 35TH ST, MANHATTAN, NY 10001",Donuts,6/7/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,6/7/2016
THE SPOT KARAOKE LOUNGE,MANHATTAN,34,WEST   32 STREET,10001,"34 WEST   32 STREET, MANHATTAN, NY 10001",Korean,1/29/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,1/29/2019
IL BUCO RESTAURANT,MANHATTAN,47,BOND STREET,10012,"47 BOND STREET, MANHATTAN, NY 10012",Italian,7/2/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,7/2/2018
TROPIC BOWL,MANHATTAN,45,1ST AVE,10003,"45 1ST AVE, MANHATTAN, NY 10003","Juice, Smoothies, Fruit Salads",10/29/2018,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,Not Yet Graded,
AMC THEATRES,MANHATTAN,66,3RD AVE,10003,"66 3RD AVE, MANHATTAN, NY 10003",American,5/21/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,5/21/2018
HOP KEE RESTAURANT,MANHATTAN,21,MOTT STREET,10013,"21 MOTT STREET, MANHATTAN, NY 10013",Chinese,6/1/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/1/2018
KENNEDY FRIED CHICKEN,MANHATTAN,1270,SAINT NICHOLAS AVE,10033,"1270 SAINT NICHOLAS AVE, MANHATTAN, NY 10033",Chicken,2/20/2019,Hot food item not held at or above 140Âº F.,Critical,9,A,2/20/2019
TERANGA TAC,MANHATTAN,1280,5TH AVE,10029,"1280 5TH AVE, MANHATTAN, NY 10029",African,3/22/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,44,Not Yet Graded,
SPICY VILLAGE,MANHATTAN,68B,FORSYTH STREET,10002,"68B FORSYTH STREET, MANHATTAN, NY 10002",Chinese,1/18/2019,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,6,A,1/18/2019
MAISON THAI,MANHATTAN,625,2ND AVE,10016,"625 2ND AVE, MANHATTAN, NY 10016",Thai,8/30/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,8/30/2017
FOOLS GOLD,MANHATTAN,145,E HOUSTON ST,10002,"145 E HOUSTON ST, MANHATTAN, NY 10002",American,2/22/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,2/22/2016
NHA TRANG ONE,MANHATTAN,87,BAXTER STREET,10013,"87 BAXTER STREET, MANHATTAN, NY 10013",Vietnamese/Cambodian/Malaysia,4/24/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,B,4/24/2017
LA CHULA,MANHATTAN,137,E 116TH ST,10029,"137 E 116TH ST, MANHATTAN, NY 10029",Mexican,12/8/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,12/8/2017
EL RINCON DEL SABOR LATINO,MANHATTAN,74,W 47TH ST,10036,"74 W 47TH ST, MANHATTAN, NY 10036",Spanish,2/6/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/6/2017
SPOONBREAD TOO,MANHATTAN,364,WEST  110 STREET,10025,"364 WEST  110 STREET, MANHATTAN, NY 10025",Soul Food,12/7/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,B,12/7/2016
MOKJA,MANHATTAN,1663,1ST AVE,10028,"1663 1ST AVE, MANHATTAN, NY 10028",Korean,9/25/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,9/25/2018
YO SUSHI,MANHATTAN,208,3RD AVE,10003,"208 3RD AVE, MANHATTAN, NY 10003",Japanese,4/11/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,B,4/11/2016
SUMA SUSHI,MANHATTAN,964,AMSTERDAM AVENUE,10025,"964 AMSTERDAM AVENUE, MANHATTAN, NY 10025",Japanese,8/21/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,C,8/21/2017
SHERATON NEW YORK HOTEL & TOWERS,MANHATTAN,811,7 AVENUE,10019,"811 7 AVENUE, MANHATTAN, NY 10019",American,5/10/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,5/10/2016
MERILU PIZZA AL METRO,MANHATTAN,791,9TH AVE,10019,"791 9TH AVE, MANHATTAN, NY 10019",Pizza,7/27/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,7/27/2016
DIG INN,MANHATTAN,463,7TH AVE,10018,"463 7TH AVE, MANHATTAN, NY 10018",American,12/17/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,12/17/2018
GREAT WOK,MANHATTAN,1631,LEXINGTON AVE,10029,"1631 LEXINGTON AVE, MANHATTAN, NY 10029",Chinese,2/25/2019,Food Protection Certificate not held by supervisor of food operations.,Critical,27,Z,2/25/2019
BARAWINE,MANHATTAN,27,W 120TH ST,10027,"27 W 120TH ST, MANHATTAN, NY 10027",French,7/6/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,7/6/2016
GUCKENHEIMER @ TWITTER CAFE,MANHATTAN,245,W 17TH ST,10011,"245 W 17TH ST, MANHATTAN, NY 10011",American,4/1/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,4/1/2016
KAWA SUSHI 8 AVENUE,MANHATTAN,24,8 AVENUE,10014,"24 8 AVENUE, MANHATTAN, NY 10014",Japanese,4/12/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,4/12/2017
RIVERSIDE CAFE,MANHATTAN,475,RIVERSIDE DRIVE,10115,"475 RIVERSIDE DRIVE, MANHATTAN, NY 10115",American,1/31/2018,Food contact surface not properly maintained.,Not Critical,7,A,1/31/2018
JUICE VITALITY,MANHATTAN,192,1ST AVE,10009,"192 1ST AVE, MANHATTAN, NY 10009","Juice, Smoothies, Fruit Salads",2/5/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2/5/2019
COCO FRESH TEA & JUICE,MANHATTAN,79,DIVISION ST,10002,"79 DIVISION ST, MANHATTAN, NY 10002","Juice, Smoothies, Fruit Salads",6/22/2018,,Not Applicable,0,A,6/22/2018
SOFT SWERVE,MANHATTAN,85B,ALLEN ST,10002,"85B ALLEN ST, MANHATTAN, NY 10002","Ice Cream, Gelato, Yogurt, Ices",3/7/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,3/7/2019
PRET A MANGER,MANHATTAN,380,LEXINGTON AVENUE,10017,"380 LEXINGTON AVENUE, MANHATTAN, NY 10017",Sandwiches,1/8/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8,A,1/8/2016
ROTI ROLL / SUITE,MANHATTAN,992,AMSTERDAM AVENUE,10025,"992 AMSTERDAM AVENUE, MANHATTAN, NY 10025",Indian,1/25/2018,Live roaches present in facility's food and/or non-food areas.,Critical,19,B,1/25/2018
LINCOLN FRIED CHICKEN,MANHATTAN,576,W 125TH ST,10027,"576 W 125TH ST, MANHATTAN, NY 10027",Chicken,3/6/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/6/2018
PIZZA HAVEN,MANHATTAN,4942,BROADWAY,10034,"4942 BROADWAY, MANHATTAN, NY 10034",Pizza,9/22/2017,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12,A,9/22/2017
OXBOW TAVERN,MANHATTAN,240,COLUMBUS AVENUE,10023,"240 COLUMBUS AVENUE, MANHATTAN, NY 10023",American,11/19/2015,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,11/19/2015
THE BUTCHER'S DAUGHTER,MANHATTAN,19,KENMARE STREET,10012,"19 KENMARE STREET, MANHATTAN, NY 10012",Vegetarian,3/13/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,3/13/2017
SALUGGI'S,MANHATTAN,399,GRAND ST,10002,"399 GRAND ST, MANHATTAN, NY 10002",Italian,3/18/2019,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,29,Z,3/18/2019
DUNKIN' DONUTS,MANHATTAN,2,PENNSYLVANIA PLAZA,10121,"2 PENNSYLVANIA PLAZA, MANHATTAN, NY 10121",CafÃ©/Coffee/Tea,9/14/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,9/14/2015
TIME WARNER(CAFETERIA),MANHATTAN,1,TIME WARNER CENTER,10019,"1 TIME WARNER CENTER, MANHATTAN, NY 10019",American,1/13/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,1/13/2017
THE PARK,MANHATTAN,118122,10 AVENUE,,"118122 10 AVENUE, MANHATTAN, NY ",American,7/30/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,7/30/2018
SUBWAY,MANHATTAN,367,W 34TH ST,10001,"367 W 34TH ST, MANHATTAN, NY 10001",Sandwiches,5/24/2016,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,13,A,5/24/2016
FRESH 2 GO DELI,MANHATTAN,607,9TH AVE,10036,"607 9TH AVE, MANHATTAN, NY 10036",Delicatessen,10/30/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,P,10/30/2018
DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,69,1 AVENUE,10003,"69 1 AVENUE, MANHATTAN, NY 10003",Mexican,8/4/2016,Wiping cloths soiled or not stored in sanitizing solution.,Critical,8,A,8/4/2016
TIANTI BOOKS CAFE MEDiTATION,MANHATTAN,535,8TH AVE,10018,"535 8TH AVE, MANHATTAN, NY 10018",American,1/31/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,1/31/2018
HELL'S KITCHEN PIZZA,MANHATTAN,696,9TH AVE,10036,"696 9TH AVE, MANHATTAN, NY 10036",Pizza,3/28/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,Not Yet Graded,
STROKOS GOURMET DELI,MANHATTAN,1090,AMSTERDAM AVE,10025,"1090 AMSTERDAM AVE, MANHATTAN, NY 10025",Delicatessen,6/22/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/22/2017
MELBA'S,MANHATTAN,300,WEST  114 STREET,10026,"300 WEST  114 STREET, MANHATTAN, NY 10026",American,6/20/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,6/20/2017
BEYOND SUSHI,MANHATTAN,227229,E 14TH ST,,"227229 E 14TH ST, MANHATTAN, NY ",Vegetarian,12/18/2018,Food Protection Certificate not held by supervisor of food operations.,Critical,13,A,12/18/2018
MICHAEL'S,MANHATTAN,24,WEST   55 STREET,10019,"24 WEST   55 STREET, MANHATTAN, NY 10019",American,1/24/2019,Thawing procedures improper.,Not Critical,9,A,1/24/2019
JOY BURGER BAR,MANHATTAN,1567,LEXINGTON AVE,10029,"1567 LEXINGTON AVE, MANHATTAN, NY 10029",Hamburgers,7/9/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,B,7/9/2018
OCABANON,MANHATTAN,245,W 29TH ST,10001,"245 W 29TH ST, MANHATTAN, NY 10001",French,11/16/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,B,11/16/2016
NEW YORK BEER COMPANY,MANHATTAN,321,WEST   44 STREET,10036,"321 WEST   44 STREET, MANHATTAN, NY 10036",American,3/11/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,3/11/2019
LA CANTINA HEIGHTS,MANHATTAN,4460,BROADWAY,10040,"4460 BROADWAY, MANHATTAN, NY 10040",American,5/23/2017,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,11,A,5/23/2017
JOE COFFEE,MANHATTAN,131,WEST   21 STREET,10011,"131 WEST   21 STREET, MANHATTAN, NY 10011",CafÃ©/Coffee/Tea,3/6/2019,''''Wash hands sign not posted at hand wash facility.,Not Critical,13,A,3/6/2019
LUPA OSTERIA ROMANA,MANHATTAN,170,THOMPSON STREET,10012,"170 THOMPSON STREET, MANHATTAN, NY 10012",Italian,8/22/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,8/22/2018
MAKE MY CAKE,MANHATTAN,2380,ADAM CLAYTON POWELL BOULEVARD,,"2380 ADAM CLAYTON POWELL BOULEVARD, MANHATTAN, NY ",Bakery,4/8/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,4/8/2016
CONVENE,MANHATTAN,75,ROCKEFELLER PLZ,10019,"75 ROCKEFELLER PLZ, MANHATTAN, NY 10019",American,11/14/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,11/14/2018
JOHNNY'S BAR,MANHATTAN,90,GREENWICH AVENUE,10011,"90 GREENWICH AVENUE, MANHATTAN, NY 10011","Bottled beverages, including water, sodas, juices, etc.",6/9/2017,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,B,6/9/2017
FUJI EAST,MANHATTAN,455,MAIN ST,10044,"455 MAIN ST, MANHATTAN, NY 10044",Japanese,2/15/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/15/2018
SPICE SAIGON,MANHATTAN,1237,1ST AVE,10065,"1237 1ST AVE, MANHATTAN, NY 10065",Vietnamese/Cambodian/Malaysia,9/14/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,9/14/2016
JEF CHINESE,MANHATTAN,913,2ND AVE,10017,"913 2ND AVE, MANHATTAN, NY 10017",Chinese,12/13/2018,Hot food item not held at or above 140Âº F.,Critical,11,A,12/13/2018
